step,training_loss,validation_loss
3700,1.9776,
3710,1.9382,
3720,2.1523,
3730,2.0511,
3740,2.05,
3750,1.8432,
3760,1.7455,
3770,1.9871,
3780,2.0644,
3790,2.1396,
3800,2.0006,
3810,1.8343,
3820,2.0974,
3830,1.8727,
3840,1.9966,
3850,2.3421,
3860,2.2643,
3870,1.7912,
3880,1.9142,
3890,1.9526,
3900,1.7327,
3910,1.8848,
3920,2.1524,
3930,1.7745,
3940,1.6488,
3950,2.117,
3960,2.1809,
3970,1.8816,
3980,2.1091,
3990,1.8345,
4000,2.2176,
4010,1.9278,
4020,1.8922,
4030,2.1813,
4040,1.9672,
4050,1.9956,
4060,2.1314,
4070,2.0014,
4080,2.2417,
4090,2.1472,
4100,1.8768,
4110,1.9106,
4120,2.0141,
4130,2.2847,
4140,2.0402,
4150,1.9499,
4160,2.1419,
4170,1.8357,
4180,1.7031,
4190,1.9234,
4200,2.0495,
4210,1.9619,
4220,1.8037,
4230,2.174,
4240,2.1687,
4250,2.0736,
4260,2.0294,
4270,2.069,
4280,1.6886,
4290,1.8327,
4300,1.9511,
4310,2.0778,
4320,2.1427,
4330,2.2198,
4340,1.8925,
4350,1.8907,
4360,2.2882,
4370,1.8507,
4380,2.0564,
4390,1.9627,
4400,1.9616,
4410,1.9501,
4420,1.8771,
4430,1.6446,
4440,1.9454,
4450,2.2754,
4460,2.2504,
4470,1.7668,
4480,2.0569,
4490,2.15,
4500,2.023,
4510,1.799,
4520,2.0684,
4530,1.8922,
4540,2.2742,
4550,1.8419,
4560,2.0538,
4570,1.9021,
4580,2.0109,
4590,2.03,
4600,2.0822,
4610,2.1778,
4620,2.3529,
4630,2.0659,
4640,2.2416,
4650,1.8565,
4660,2.001,
4670,2.0012,
4680,1.9028,
4690,1.8631,
4700,2.3223,
4710,1.8597,
4720,1.9018,
4730,1.8055,
4740,1.9246,
4750,2.0156,
4760,1.8948,
4770,1.9223,
4780,1.6878,
4790,1.9373,
4800,1.851,
4810,1.9567,
4820,1.8353,
4830,1.967,
4840,1.7308,
4850,1.7966,
4860,2.13,
4870,2.0839,
4880,1.7975,
4890,1.7376,
4900,1.9468,
4910,2.1519,
4920,2.2198,
4930,2.1064,
4940,1.983,
4950,1.8064,
4960,1.9088,
4970,2.1064,
4980,2.0365,
4990,1.9308,
5000,2.1313,
5010,1.9076,
5020,2.0284,
5030,2.0443,
5040,1.8581,
5050,1.9967,
5060,2.0984,
5070,1.987,
5080,2.1695,
5090,2.0162,
5100,2.1298,
5110,1.8967,
5120,2.1902,
5130,2.0408,
5140,1.8111,
5150,1.8419,
5160,1.8136,
5170,1.8253,
5180,2.0862,
5190,2.0397,
5200,1.7344,
5210,2.045,
5220,2.3549,
5230,2.085,
5240,2.0868,
5250,1.9516,
5260,2.1749,
5270,2.179,
5280,2.2082,
5290,2.1458,
5300,1.8642,
5310,2.2805,
5320,1.9834,
5330,2.2306,
5340,1.8497,
5350,2.3362,
5360,1.9544,
5370,1.8663,
5380,2.1835,
5390,2.1445,
5400,1.8957,
5410,1.9732,
5420,2.0606,
5430,1.8713,
5440,2.1013,
5450,1.9677,
5460,2.0948,
5470,1.8389,
